,time,name,country,place,marathon,day,month,year,gender,seconds
0,2:19:57,Rita Jeptoo,KEN,1,Chicago,13,OCT,2013,F,8397
1,2:20:15,Priscah Jeptoo,KEN,1,London,21,APR,2013,F,8415
2,2:20:48,Jemima Jelegat,KEN,2,Chicago,13,OCT,2013,F,8448
3,2:21:05,Feyse Tadesse,ETH,1,Paris,7,APR,2013,F,8465
4,2:21:13,Florence Kiplagat,KEN,1,Berlin,29,SEP,2013,F,8473
5,2:21:32,Edna Kiplagat,KEN,2,London,21,APR,2013,F,8492
6,2:22:34,Caroline Kilel,KEN,1,Frankfurt,27,OCT,2013,F,8554
7,2:22:46,Maria Konovalova,RUS,3,Chicago,13,OCT,2013,F,8566
8,2:23:00,Flomena Chepchirchir,KEN,2,Frankfurt,27,OCT,2013,F,8580
9,2:23:01,Birhane Dibaba,ETH,3,Frankfurt,27,OCT,2013,F,8581
10,2:23:02,Valentine Kipketer,KEN,1,Amsterdam,20,OCT,2013,F,8582
11,2:23:14,Merima Mohamed,ETH,2,Paris,7,APR,2013,F,8594
12,2:23:23,Tirfi Tsegaye,ETH,1,Dubai,25,JAN,2013,F,8603
13,2:23:23,Mamitu Daska,ETH,4,Frankfurt,27,OCT,2013,F,8603
14,2:23:27,Jelegat,KEN,1,Rotterdam,14,APR,2013,F,8607
15,2:23:28,Margaret Agai,KEN,1,Daegu,14,APR,2013,F,8608
16,2:23:28,Sharon Cherop,KEN,2,Berlin,29,SEP,2013,F,8608
17,2:23:28,Aberu Kebede,ETH,1,Shanghai,1,DEC,2013,F,8608
18,2:23:34,Ryoko Kizaki,JPN,1,Nagoya,10,MAR,2013,F,8614
19,2:23:34,Eunice Kirwa Jepkirui,KEN,3,Paris,7,APR,2013,F,8614
20,2:23:37,Mohammed,ETH,1,Houston,13,JAN,2013,F,8617
21,2:23:39,Ehitu Kiros,ETH,2,Dubai,25,JAN,2013,F,8619
22,2:23:43,Mulu Seboka,ETH,2,Daegu,14,APR,2013,F,8623
23,2:23:44,Aliaksandra Duliba,BLR,4,Chicago,13,OCT,2013,F,8624
24,2:23:45,Eunice Jepkirui Kirwa,KEN,5,Frankfurt,27,OCT,2013,F,8625
25,2:23:50,Amane Gobena,ETH,3,Dubai,25,JAN,2013,F,8630
26,2:23:51,Birhane Dibaba,ETH,2,Nagoya,10,MAR,2013,F,8631
27,2:23:57,Tatiana Gamera-Shmyrko,UKR,1,Osaka,27,JAN,2013,F,8637
28,2:23:59,Abebech Afework,ETH,2,Rotterdam,14,APR,2013,F,8639
29,2:24:03,Agnes Barsosio,KEN,3,Daegu,14,APR,2013,F,8643
30,2:24:05,Mizuko Noguchi,JPN,3,Nagoya,10,MAR,2013,F,8645
31,2:24:06,Yeshi Esayias,ETH,6,Frankfurt,27,OCT,2013,F,8646
32,2:24:21,Kayoko Fukushi,JPN,2,Osaka,27,JAN,2013,F,8661
33,2:24:26,Bizunesh Deba,ETH,2,Houston,13,JAN,2013,F,8666
34,2:24:30,Aheza Kiros,ETH,4,Dubai,25,JAN,2013,F,8670
35,2:24:33,V Kipketer,KEN,1,Mumbai,20,JAN,2013,F,8673
36,2:24:34,Flomena Cheych,KEN,1,Vienna,14,APR,2013,F,8674
37,2:24:40,Helena Kirop,KEN,1,Rome,17,MAR,2013,F,8680
38,2:24:43,Yukiko Akaba,JPN,3,London,21,APR,2013,F,8683
39,2:24:54,Irina Mikitenko,GER,3,Berlin,29,SEP,2013,F,8694
40,2:25:01,Belaynesh Oljira,ETH,5,Dubai,25,JAN,2013,F,8701
41,2:25:07,P Jeptoo,KEN,1,New York,3,NOV,2013,F,8707
