,time,name,country,place,marathon,day,month,year,gender
0,2:19:57,Rita Jeptoo,KEN,1,Chicago,13,OCT,2013,F
1,2:20:15,Priscah Jeptoo,KEN,1,London,21,APR,2013,F
2,2:20:48,Jemima Jelegat,KEN,2,Chicago,13,OCT,2013,F
3,2:21:05,Feyse Tadesse,ETH,1,Paris,7,APR,2013,F
4,2:21:13,Florence Kiplagat,KEN,1,Berlin,29,SEP,2013,F
5,2:21:32,Edna Kiplagat,KEN,2,London,21,APR,2013,F
6,2:22:34,Caroline Kilel,KEN,1,Frankfurt,27,OCT,2013,F
7,2:22:46,Maria Konovalova,RUS,3,Chicago,13,OCT,2013,F
8,2:23:00,Flomena Chepchirchir,KEN,2,Frankfurt,27,OCT,2013,F
9,2:23:01,Birhane Dibaba,ETH,3,Frankfurt,27,OCT,2013,F
10,2:23:02,Valentine Kipketer,KEN,1,Amsterdam,20,OCT,2013,F
11,2:23:14,Merima Mohamed,ETH,2,Paris,7,APR,2013,F
12,2:23:23,Tirfi Tsegaye,ETH,1,Dubai,25,JAN,2013,F
13,2:23:23,Mamitu Daska,ETH,4,Frankfurt,27,OCT,2013,F
14,2:23:27,Jelegat,KEN,1,Rotterdam,14,APR,2013,F
15,2:23:28,Margaret Agai,KEN,1,Daegu,14,APR,2013,F
16,2:23:28,Sharon Cherop,KEN,2,Berlin,29,SEP,2013,F
17,2:23:28,Aberu Kebede,ETH,1,Shanghai,1,DEC,2013,F
18,2:23:34,Ryoko Kizaki,JPN,1,Nagoya,10,MAR,2013,F
19,2:23:34,Eunice Kirwa Jepkirui,KEN,3,Paris,7,APR,2013,F
20,2:23:37,Mohammed,ETH,1,Houston,13,JAN,2013,F
21,2:23:39,Ehitu Kiros,ETH,2,Dubai,25,JAN,2013,F
22,2:23:43,Mulu Seboka,ETH,2,Daegu,14,APR,2013,F
23,2:23:44,Aliaksandra Duliba,BLR,4,Chicago,13,OCT,2013,F
24,2:23:45,Eunice Jepkirui Kirwa,KEN,5,Frankfurt,27,OCT,2013,F
25,2:23:50,Amane Gobena,ETH,3,Dubai,25,JAN,2013,F
26,2:23:51,Birhane Dibaba,ETH,2,Nagoya,10,MAR,2013,F
27,2:23:57,Tatiana Gamera-Shmyrko,UKR,1,Osaka,27,JAN,2013,F
28,2:23:59,Abebech Afework,ETH,2,Rotterdam,14,APR,2013,F
29,2:24:03,Agnes Barsosio,KEN,3,Daegu,14,APR,2013,F
30,2:24:05,Mizuko Noguchi,JPN,3,Nagoya,10,MAR,2013,F
31,2:24:06,Yeshi Esayias,ETH,6,Frankfurt,27,OCT,2013,F
32,2:24:21,Kayoko Fukushi,JPN,2,Osaka,27,JAN,2013,F
33,2:24:26,Bizunesh Deba,ETH,2,Houston,13,JAN,2013,F
34,2:24:30,Aheza Kiros,ETH,4,Dubai,25,JAN,2013,F
35,2:24:33,V Kipketer,KEN,1,Mumbai,20,JAN,2013,F
36,2:24:34,Flomena Cheych,KEN,1,Vienna,14,APR,2013,F
37,2:24:40,Helena Kirop,KEN,1,Rome,17,MAR,2013,F
38,2:24:43,Yukiko Akaba,JPN,3,London,21,APR,2013,F
39,2:24:54,Irina Mikitenko,GER,3,Berlin,29,SEP,2013,F
40,2:25:01,Belaynesh Oljira,ETH,5,Dubai,25,JAN,2013,F
41,2:25:07,P Jeptoo,KEN,1,New York,3,NOV,2013,F
42,2:25:09,Dinknesh Tefera,ETH,4,Paris,7,APR,2013,F
43,2:25:13,Flomina Cheyech,KEN,1,Toronto,20,OCT,2013,F
44,2:25:15,Getnet Selomie Kassa,ETH,2,Rome,17,MAR,2013,F
45,2:25:17,Meskerem Assefa,ETH,2,Houston,13,JAN,2013,F
46,2:25:22,Agnes Kiprop,ETH,5,Paris,7,APR,2013,F
47,2:25:31,Yeshi Esayias,ETH,1,Ottawa,26,MAY,2013,F
48,2:25:34,Aberu Kebede,ETH,1,Tokyo,24,FEB,2013,F
49,2:25:43,Philomena Chepchirchir,KEN,1,Seoul,17,MAR,2013,F
50,2:25:44,Lisa Stublic,CRO,1,Zurich,7,MAR,2013,F
51,2:25:45,Misiker Mekonin,ETH,2,Ottawa,26,MAY,2013,F
52,2:25:45,Kiplagat,KRN,1,Moscow,10,AUG,2013,F
53,2:25:46,Jelena Prokopcuka,LAT,4,Nagoya,10,MAR,2013,F
54,2:25:46,Meselech Melkamu,ETH,5,London,21,APR,2013,F
55,2:25:47,Shitaye Bedasa,ETH,6,Dubai,25,JAN,2013,F
56,2:25:53,Emebet Etea,ETH,2,Seoul,17,MAR,2013,F
57,2:25:55,Albina Mayorova,RUS,1,Yokohama,17,NOV,2013,F
58,2:25:56,Yuko Watanabe,JPN,3,Osaka,27,JAN,2013,F
59,2:25:56,Bizunesh Deba,ETH,2,New York,3,NOV,2013,F
60,2:25:58,Valeria Straneo,ITA,2,Moscow,10,AUG,2013,F
61,2:25:58,Risper Kimaiyo,KEN,1,Edinburgh,26,MAY,2013,F
62,2:26:01,Esayias,ETH,2,Tokyo,24,FEB,2013,F
63,2:26:05,Isabella Anderson,SWE,7,Dubai,25,JAN,2013,F
64,2:26:05,Lisa Weightman,AUS,1,Melbourne,13,OCT,2013,F
65,2:26:07,Aberu Mekuria Zennebe,ETH,1,Hengshui,21,SEP,2013,F
66,2:26:15,Meseret Legese Regesa,ETH,2,Hengshui,21,SEP,2013,F
67,2:26:17,Eri Hayakawa,JPN,5,Nagoya,10,MAR,2013,F
68,2:26:18,Yeshimebet Tadese Bifa,ETH,3,Seoul,17,MAR,2013,F
69,2:26:20,Mestawet Tufa,ETH,6,Nagoya,10,MAR,2013,F
70,2:26:24,Gisaw Melkam,ETH,1,Dusseldorf,28,APR,2013,F
71,2:26:30,Mohammed,ETH,2,Shanghai,1,DEC,2013,F
72,2:26:32,Mi-Gyong Kim,PRK,1,Pyongyang,14,APR,2013,F
73,2:26:34,Ashu Kasim,ETH,3,Shanghai,1,DEC,2013,F
74,2:26:41,Mari Ozaki,JPN,4,Osaka,27,JAN,2013,F
75,2:26:41,Irina Mikitenko,GER,3,Tokyo,24,FEB,2013,F
76,2:26:42,Hilda Kibet,NED,3,Rotterdam,14,APR,2013,F
77,2:26:42,Atsede Baysa,ETH,5,Chicago,13,OCT,2013,F
78,2:26:43,Sechale Adugna,ETH,2,Toronto,20,OCT,2013,F
79,2:26:44,Karolina Jarzynski,POL,1,Lodz,14,APR,2013,F
80,2:26:51,Albina Mayorova,RUS,4,Tokyo,24,FEB,2013,F
81,2:26:57,Tirfi Tsegaye Beyene,ETH,7,Frankfurt,27,OCT,2013,F
82,2:27:00,Caroline Rotich,KEN,1,Prague,12,MAY,2013,F
83,2:27:01,Azalech Masresha,ETH,1,Valencia,17,NOV,2013,F
84,2:27:03,Alessandra Aguilar,ESP,4,Rotterdam,14,APR,2013,F
85,2:27:05,Florence Kiplagat,KEN,6,London,21,APR,2013,F
86,2:27:07,Elena Burkovska,UKR,1,Hannover,5,MAY,2013,F
87,2:27:08,Abebech Afework,ETH,8,Dubai,25,JAN,2013,F
88,2:27:10,Sultan Haydar,TUR,3,Rome,17,MAR,2013,F
89,2:27:17,Yoko Miyauchi,JPN,7,Nagoya,10,MAR,2013,F
90,2:27:17,Yukiko Akaba,JPN,1,Gold Coast,7,JUL,2013,F
91,2:27:19,Eunice Kales,KEN,2,Melbourne,13,OCT,2013,F
92,2:27:21,Sung-eun Kim,KOR,4,Seoul,17,MAR,2013,F
93,2:27:27,Caroline Chepkwony,KEN,1,Ljubljana,27,OCT,2013,F
94,2:27:31,Sechale Delasa,ETH,3,Ottawa,26,MAY,2013,F
95,2:27:35,Fatuma Sado,ETH,1,Xiamen,5,JAN,2013,F
96,2:27:42,Ehitu Kiros,ETH,6,Chicago,13,OCT,2013,F
97,2:27:44,Netsanet Achamo,ETH,4,Ottawa,26,MAY,2013,F
98,2:27:45,Kayoko Fukushi,JPN,3,Moscow,10,AUG,2013,F
99,2:27:47,Ashere Bekere Dido,ETH,1,Kosice,6,OCT,2013,F
0,2:19:25,Gladys CHERONO,KEN,1,Berlin,27,SEP,2015,F
1,2:19:52,Mare DIBABA,ETH,1,Xiamen,3,JAN,2015,F
2,2:20:02,Aselefech MERGIA,ETH,1,Dubai,23,JAN,2015,F
3,2:20:03,Gladys CHERONO,KEN,2,Dubai,23,JAN,2015,F
4,2:20:21,Lucy Wangui KABUU,KEN,3,Dubai,23,JAN,2015,F
5,2:20:48,Aberu KEBEDE,ETH,2,Berlin,27,SEP,2015,F
6,2:20:59,Shure DEMISE,ETH,4,Dubai,23,JAN,2015,F
7,2:21:17,Aberu KEBEDE,ETH,5,Dubai,23,JAN,2015,F
8,2:21:56,Mulu SEBOKA,ETH,6,Dubai,23,JAN,2015,F
